# using age ky before 2015 and T columns
0.075	0.60	0.28
0.095	-0.10	0.26
0.115	-0.26	0.24
0.135	-0.26	0.23
0.155	-0.19	0.22
0.175	-0.16	0.21
0.195	-0.15	0.20
0.215	-0.25	0.19
0.235	-0.22	0.20
0.255	-0.22	0.20
0.275	-0.37	0.20
0.295	-0.35	0.20
0.315	-0.37	0.19
0.335	-0.35	0.18
0.355	-0.33	0.17
0.375	-0.32	0.17
0.395	-0.30	0.17
0.415	-0.29	0.16
0.435	-0.27	0.17
0.455	-0.24	0.17
0.475	-0.22	0.17
0.495	-0.25	0.17
0.515	-0.23	0.16
0.535	-0.23	0.16
0.555	-0.21	0.16
0.575	-0.28	0.16
0.595	-0.26	0.16
0.615	-0.18	0.16
0.635	-0.17	0.16
0.655	-0.16	0.15
0.675	-0.13	0.15
0.695	-0.12	0.15
0.715	-0.13	0.15
0.735	-0.14	0.15
0.755	-0.12	0.15
0.775	-0.13	0.15
0.795	-0.20	0.15
0.815	-0.19	0.15
0.835	-0.18	0.15
0.855	-0.14	0.15
0.875	-0.11	0.15
0.895	-0.10	0.15
0.915	-0.09	0.15
0.935	-0.09	0.15
0.955	-0.09	0.14
0.975	-0.08	0.14
0.995	-0.08	0.14
1.015	-0.08	0.14
1.035	-0.07	0.14
1.055	-0.05	0.14
1.075	-0.06	0.14
1.095	-0.05	0.14
1.115	-0.04	0.14
1.135	-0.03	0.14
1.155	-0.02	0.13
1.175	0.00	0.13
1.195	0.00	0.14
1.215	0.00	0.14
1.235	0.00	0.14
1.255	0.00	0.14
1.275	0.00	0.13
1.295	-0.02	0.13
1.315	-0.02	0.14
1.335	-0.02	0.14
1.355	-0.02	0.13
1.375	-0.02	0.13
1.395	-0.03	0.13
1.415	-0.02	0.13
1.435	-0.02	0.13
1.455	-0.02	0.13
1.475	-0.02	0.14
1.495	-0.02	0.14
1.515	-0.07	0.14
1.535	-0.07	0.13
1.555	-0.08	0.14
1.575	-0.07	0.14
1.595	-0.06	0.14
1.615	-0.07	0.14
1.635	-0.07	0.14
1.655	-0.07	0.14
1.675	-0.07	0.14
1.695	-0.07	0.14
1.715	-0.07	0.14
1.735	-0.07	0.14
1.755	-0.07	0.14
1.775	-0.07	0.14
1.795	-0.07	0.14
1.815	-0.07	0.14
1.835	-0.06	0.14
1.855	-0.06	0.14
1.875	-0.06	0.14
1.895	-0.06	0.14
1.915	-0.06	0.14
1.935	-0.06	0.13
1.955	-0.06	0.13
1.975	-0.06	0.13
1.995	-0.06	0.13
2.015	-0.06	0.13
2.035	-0.06	0.13
2.055	-0.05	0.13
2.075	-0.05	0.13
